"status","activity_id","date_time"
SCHEDULED,15,2021-10-13 15:45:00
SCHEDULED,78,2021-08-27 12:40:00
SCHEDULED,164,2021-09-11 15:20:00
SCHEDULED,131,2021-08-10 18:50:00
SCHEDULED,169,2021-09-16 05:00:00
SCHEDULED,72,2021-10-15 02:00:00
SCHEDULED,13,2021-09-03 02:00:00
SCHEDULED,57,2021-09-27 20:45:00
SCHEDULED,75,2021-09-17 10:55:00
SCHEDULED,125,2021-08-23 01:55:00
SCHEDULED,169,2021-08-04 17:10:00
SCHEDULED,153,2021-09-14 15:40:00
SCHEDULED,64,2021-10-24 03:10:00
SCHEDULED,150,2021-09-03 06:35:00
SCHEDULED,90,2021-08-15 11:50:00
SCHEDULED,95,2021-08-28 21:15:00
SCHEDULED,48,2021-09-13 21:05:00
SCHEDULED,131,2021-10-17 21:30:00
SCHEDULED,85,2021-08-18 13:45:00
SCHEDULED,137,2021-09-23 14:05:00
SCHEDULED,68,2021-10-20 07:20:00
SCHEDULED,104,2021-10-11 04:00:00
SCHEDULED,158,2021-09-24 00:10:00
SCHEDULED,128,2021-09-24 00:05:00
SCHEDULED,25,2021-10-16 13:25:00
SCHEDULED,128,2021-08-17 10:50:00
SCHEDULED,83,2021-08-12 19:05:00
SCHEDULED,38,2021-09-16 06:50:00
SCHEDULED,37,2021-09-12 13:00:00
SCHEDULED,133,2021-09-16 11:05:00
SCHEDULED,40,2021-10-08 09:00:00
SCHEDULED,66,2021-10-18 23:40:00
SCHEDULED,55,2021-10-26 19:00:00
SCHEDULED,83,2021-09-25 19:00:00
SCHEDULED,60,2021-09-16 15:40:00
SCHEDULED,23,2021-08-27 15:35:00
SCHEDULED,83,2021-09-27 20:30:00
SCHEDULED,77,2021-08-17 07:20:00
SCHEDULED,144,2021-10-14 20:10:00
SCHEDULED,67,2021-09-17 09:20:00
SCHEDULED,3,2021-08-20 09:15:00
SCHEDULED,109,2021-08-17 05:50:00
SCHEDULED,31,2021-09-12 05:40:00
SCHEDULED,24,2021-08-26 06:50:00
SCHEDULED,171,2021-09-11 19:35:00
SCHEDULED,94,2021-08-16 11:50:00
SCHEDULED,117,2021-08-05 08:40:00
SCHEDULED,23,2021-10-04 21:45:00
SCHEDULED,109,2021-08-20 09:10:00
SCHEDULED,141,2021-10-15 10:55:00
SCHEDULED,31,2021-09-10 09:05:00
SCHEDULED,28,2021-09-23 16:20:00
SCHEDULED,130,2021-08-04 22:35:00
SCHEDULED,24,2021-08-15 19:15:00
SCHEDULED,104,2021-08-18 20:50:00
SCHEDULED,114,2021-08-14 17:30:00
SCHEDULED,77,2021-09-25 04:05:00
SCHEDULED,35,2021-09-10 00:30:00
SCHEDULED,153,2021-08-14 15:50:00
SCHEDULED,19,2021-09-01 11:50:00
SCHEDULED,62,2021-09-03 19:45:00
SCHEDULED,179,2021-09-14 20:55:00
SCHEDULED,99,2021-08-05 02:20:00
SCHEDULED,144,2021-09-28 04:20:00
SCHEDULED,180,2021-08-21 23:40:00
SCHEDULED,177,2021-09-02 23:00:00
SCHEDULED,154,2021-08-16 02:20:00
SCHEDULED,79,2021-10-01 13:05:00
SCHEDULED,154,2021-09-13 19:10:00
SCHEDULED,2,2021-10-04 15:00:00
SCHEDULED,166,2021-09-07 14:35:00
SCHEDULED,95,2021-08-09 07:55:00
SCHEDULED,158,2021-09-07 07:00:00
SCHEDULED,152,2021-08-04 18:45:00
SCHEDULED,42,2021-09-30 07:05:00
SCHEDULED,72,2021-08-20 12:45:00
SCHEDULED,67,2021-08-24 09:55:00
SCHEDULED,34,2021-09-14 17:30:00
SCHEDULED,158,2021-08-17 20:40:00
SCHEDULED,35,2021-10-02 18:50:00
SCHEDULED,156,2021-10-25 02:10:00
SCHEDULED,77,2021-10-25 19:20:00
SCHEDULED,54,2021-09-16 20:00:00
SCHEDULED,121,2021-10-21 23:20:00
SCHEDULED,22,2021-10-02 14:20:00
SCHEDULED,153,2021-10-19 13:55:00
SCHEDULED,38,2021-09-25 11:00:00
SCHEDULED,27,2021-08-02 02:00:00
SCHEDULED,81,2021-10-15 06:05:00
SCHEDULED,179,2021-10-20 00:45:00
SCHEDULED,20,2021-10-27 01:55:00
SCHEDULED,14,2021-10-13 23:50:00
SCHEDULED,85,2021-09-11 01:15:00
SCHEDULED,17,2021-09-08 20:05:00
SCHEDULED,44,2021-08-27 21:10:00
SCHEDULED,44,2021-10-28 09:15:00
SCHEDULED,21,2021-08-23 09:20:00
SCHEDULED,30,2021-10-21 07:55:00
SCHEDULED,19,2021-10-19 00:30:00
SCHEDULED,86,2021-09-13 16:25:00
SCHEDULED,99,2021-09-24 15:50:00
SCHEDULED,82,2021-10-26 06:20:00
SCHEDULED,36,2021-09-18 15:55:00
SCHEDULED,6,2021-10-22 16:25:00
SCHEDULED,36,2021-10-27 14:25:00
SCHEDULED,60,2021-08-20 21:05:00
SCHEDULED,103,2021-09-24 21:10:00
SCHEDULED,91,2021-10-05 17:05:00
SCHEDULED,22,2021-09-17 12:50:00
SCHEDULED,144,2021-10-21 15:10:00
SCHEDULED,79,2021-10-26 12:55:00
SCHEDULED,132,2021-09-22 23:15:00
SCHEDULED,130,2021-08-14 18:20:00
SCHEDULED,166,2021-08-20 04:55:00
SCHEDULED,139,2021-08-02 13:05:00
SCHEDULED,153,2021-08-11 00:05:00
SCHEDULED,115,2021-10-23 22:05:00
SCHEDULED,140,2021-10-03 18:00:00
SCHEDULED,88,2021-10-25 08:40:00
SCHEDULED,12,2021-09-11 11:40:00
SCHEDULED,28,2021-08-19 16:10:00
SCHEDULED,111,2021-10-08 19:05:00
SCHEDULED,139,2021-08-22 18:40:00
SCHEDULED,21,2021-10-03 13:15:00
SCHEDULED,80,2021-10-26 11:45:00
SCHEDULED,135,2021-10-01 18:35:00
SCHEDULED,136,2021-10-17 11:35:00
SCHEDULED,49,2021-08-29 15:10:00
SCHEDULED,152,2021-09-16 08:30:00
SCHEDULED,90,2021-08-02 11:15:00
SCHEDULED,159,2021-10-15 22:45:00
SCHEDULED,47,2021-08-08 06:50:00
SCHEDULED,70,2021-09-21 15:45:00
SCHEDULED,110,2021-09-20 21:30:00
SCHEDULED,144,2021-09-16 00:05:00
SCHEDULED,131,2021-08-12 00:35:00
SCHEDULED,159,2021-09-26 19:35:00
SCHEDULED,116,2021-09-27 10:25:00
SCHEDULED,119,2021-10-22 00:25:00
SCHEDULED,101,2021-09-01 04:45:00
SCHEDULED,178,2021-10-26 13:10:00
SCHEDULED,107,2021-08-10 12:15:00
SCHEDULED,157,2021-10-02 16:35:00
SCHEDULED,180,2021-08-09 01:45:00
SCHEDULED,79,2021-10-05 21:00:00
SCHEDULED,19,2021-10-24 02:25:00
SCHEDULED,44,2021-10-16 00:20:00
SCHEDULED,103,2021-09-25 01:05:00
SCHEDULED,129,2021-08-10 22:00:00
SCHEDULED,165,2021-08-24 00:30:00
SCHEDULED,3,2021-09-26 14:40:00
SCHEDULED,80,2021-10-07 22:40:00
SCHEDULED,102,2021-10-30 07:45:00
SCHEDULED,73,2021-09-22 02:15:00
SCHEDULED,53,2021-08-19 04:45:00
SCHEDULED,170,2021-10-12 21:30:00
SCHEDULED,1,2021-09-07 02:15:00
SCHEDULED,92,2021-08-28 09:15:00
SCHEDULED,128,2021-08-24 21:20:00
SCHEDULED,26,2021-09-05 23:20:00
SCHEDULED,177,2021-10-23 18:20:00
SCHEDULED,43,2021-08-10 04:10:00
SCHEDULED,35,2021-10-10 20:05:00
SCHEDULED,35,2021-10-10 18:45:00
SCHEDULED,12,2021-08-13 20:35:00
SCHEDULED,83,2021-10-23 05:20:00
SCHEDULED,86,2021-08-18 02:30:00
SCHEDULED,29,2021-09-28 07:45:00
SCHEDULED,82,2021-08-12 10:40:00
SCHEDULED,16,2021-08-28 02:30:00
SCHEDULED,78,2021-10-14 02:45:00
SCHEDULED,26,2021-08-31 14:50:00
SCHEDULED,152,2021-08-23 23:20:00
SCHEDULED,82,2021-08-12 16:40:00
SCHEDULED,72,2021-10-01 23:50:00
SCHEDULED,28,2021-10-02 23:50:00
SCHEDULED,83,2021-10-13 02:10:00
SCHEDULED,75,2021-09-26 05:30:00
SCHEDULED,47,2021-10-15 16:45:00
SCHEDULED,95,2021-08-30 09:05:00
SCHEDULED,41,2021-10-05 06:50:00
SCHEDULED,124,2021-10-30 12:30:00
SCHEDULED,126,2021-09-13 17:05:00
SCHEDULED,100,2021-08-28 05:10:00
SCHEDULED,85,2021-09-07 20:20:00
SCHEDULED,27,2021-08-27 02:30:00
SCHEDULED,74,2021-10-08 11:35:00
SCHEDULED,132,2021-08-01 02:50:00
SCHEDULED,100,2021-09-25 01:45:00
SCHEDULED,37,2021-10-15 06:25:00
SCHEDULED,1,2021-09-14 11:55:00
SCHEDULED,150,2021-08-16 09:20:00
SCHEDULED,24,2021-10-15 13:15:00
SCHEDULED,87,2021-08-20 03:40:00
SCHEDULED,33,2021-09-30 02:55:00
SCHEDULED,102,2021-09-06 09:15:00
SCHEDULED,62,2021-08-30 11:25:00
SCHEDULED,141,2021-09-24 04:10:00
SCHEDULED,154,2021-08-21 21:50:00
SCHEDULED,33,2021-10-17 17:35:00
SCHEDULED,39,2021-09-01 16:35:00
SCHEDULED,151,2021-10-11 21:15:00
SCHEDULED,60,2021-08-30 10:00:00
SCHEDULED,4,2021-10-26 10:50:00
SCHEDULED,160,2021-10-27 01:55:00
SCHEDULED,43,2021-08-25 10:55:00
SCHEDULED,92,2021-09-29 11:45:00
SCHEDULED,58,2021-09-12 06:30:00
SCHEDULED,90,2021-09-02 08:05:00
SCHEDULED,66,2021-09-09 17:25:00
SCHEDULED,32,2021-09-23 10:45:00
SCHEDULED,122,2021-08-03 05:55:00
SCHEDULED,144,2021-08-19 09:50:00
SCHEDULED,74,2021-08-10 08:35:00
SCHEDULED,149,2021-09-24 01:45:00
SCHEDULED,95,2021-10-01 15:25:00
SCHEDULED,13,2021-10-20 20:35:00
SCHEDULED,52,2021-10-05 08:20:00
SCHEDULED,104,2021-09-12 16:10:00
SCHEDULED,90,2021-09-21 01:00:00
SCHEDULED,17,2021-09-02 22:45:00
SCHEDULED,15,2021-08-16 10:10:00
SCHEDULED,28,2021-09-24 15:15:00
SCHEDULED,164,2021-08-06 11:45:00
SCHEDULED,44,2021-10-06 21:30:00
SCHEDULED,122,2021-08-02 01:50:00
SCHEDULED,132,2021-10-12 08:35:00
SCHEDULED,54,2021-10-23 17:50:00
SCHEDULED,87,2021-08-06 15:55:00
SCHEDULED,45,2021-10-24 15:35:00
SCHEDULED,143,2021-10-19 02:35:00
SCHEDULED,45,2021-08-13 18:15:00
SCHEDULED,30,2021-08-28 20:30:00
SCHEDULED,177,2021-08-09 03:55:00
SCHEDULED,71,2021-08-05 01:00:00
SCHEDULED,18,2021-08-28 05:25:00
SCHEDULED,22,2021-09-25 19:00:00
SCHEDULED,115,2021-08-31 18:15:00
SCHEDULED,168,2021-08-07 01:15:00
SCHEDULED,164,2021-09-21 06:25:00
SCHEDULED,23,2021-09-22 14:50:00
SCHEDULED,36,2021-09-24 03:05:00
SCHEDULED,48,2021-08-23 14:25:00
SCHEDULED,122,2021-10-05 00:30:00
SCHEDULED,57,2021-08-08 23:55:00
SCHEDULED,150,2021-10-06 16:35:00
SCHEDULED,63,2021-08-10 08:30:00
SCHEDULED,19,2021-10-09 20:20:00
SCHEDULED,74,2021-08-28 16:20:00
SCHEDULED,67,2021-08-06 03:05:00
SCHEDULED,98,2021-08-18 16:20:00
SCHEDULED,83,2021-10-22 05:40:00
SCHEDULED,119,2021-09-19 10:40:00
SCHEDULED,23,2021-10-23 06:40:00
SCHEDULED,130,2021-08-23 14:35:00
SCHEDULED,161,2021-08-12 21:35:00
SCHEDULED,92,2021-09-15 03:45:00
SCHEDULED,177,2021-08-24 07:55:00
SCHEDULED,127,2021-08-13 13:55:00
SCHEDULED,2,2021-09-01 19:50:00
SCHEDULED,5,2021-09-01 06:30:00
SCHEDULED,33,2021-10-14 07:00:00
SCHEDULED,80,2021-09-21 15:10:00
SCHEDULED,98,2021-09-17 01:15:00
SCHEDULED,173,2021-08-22 19:00:00
SCHEDULED,33,2021-09-14 00:50:00
SCHEDULED,129,2021-09-07 06:35:00
SCHEDULED,145,2021-08-23 12:55:00
SCHEDULED,57,2021-10-04 20:20:00
SCHEDULED,33,2021-10-28 03:05:00
SCHEDULED,4,2021-08-10 23:40:00
SCHEDULED,152,2021-09-04 17:45:00
SCHEDULED,148,2021-09-27 17:10:00
SCHEDULED,38,2021-09-14 02:40:00
SCHEDULED,19,2021-10-29 22:30:00
SCHEDULED,146,2021-08-03 08:15:00
SCHEDULED,26,2021-10-23 20:00:00
SCHEDULED,180,2021-08-14 17:05:00
SCHEDULED,47,2021-09-10 07:45:00
SCHEDULED,100,2021-09-03 02:30:00
SCHEDULED,85,2021-08-24 09:45:00
SCHEDULED,51,2021-08-05 01:35:00
SCHEDULED,112,2021-09-02 00:10:00
SCHEDULED,45,2021-10-13 23:50:00
SCHEDULED,88,2021-08-14 11:50:00
SCHEDULED,35,2021-09-17 02:00:00
SCHEDULED,142,2021-09-28 15:20:00
SCHEDULED,51,2021-09-09 13:35:00
SCHEDULED,79,2021-08-19 05:55:00
SCHEDULED,104,2021-08-29 12:15:00
SCHEDULED,146,2021-10-04 23:30:00
SCHEDULED,18,2021-08-20 04:20:00
SCHEDULED,31,2021-08-03 22:20:00
SCHEDULED,145,2021-09-11 08:25:00
SCHEDULED,116,2021-09-25 20:00:00
SCHEDULED,82,2021-10-02 12:25:00
SCHEDULED,106,2021-08-15 15:55:00
SCHEDULED,17,2021-09-11 03:15:00
SCHEDULED,136,2021-10-21 06:20:00
SCHEDULED,71,2021-10-27 16:30:00
SCHEDULED,83,2021-09-06 10:40:00
SCHEDULED,78,2021-09-27 15:40:00
SCHEDULED,12,2021-09-12 10:40:00
SCHEDULED,162,2021-10-25 13:55:00
SCHEDULED,140,2021-10-12 19:15:00
SCHEDULED,48,2021-09-22 14:35:00
SCHEDULED,75,2021-09-18 09:40:00
SCHEDULED,89,2021-08-14 20:55:00
SCHEDULED,131,2021-08-24 11:10:00
SCHEDULED,93,2021-08-10 19:40:00
SCHEDULED,56,2021-09-13 15:00:00
SCHEDULED,62,2021-10-05 14:55:00
SCHEDULED,179,2021-08-04 14:20:00
SCHEDULED,171,2021-09-09 14:00:00
SCHEDULED,10,2021-08-21 17:50:00
SCHEDULED,173,2021-08-25 12:55:00
SCHEDULED,78,2021-09-27 10:40:00
SCHEDULED,61,2021-09-18 21:05:00
SCHEDULED,72,2021-10-05 23:35:00
SCHEDULED,142,2021-10-27 19:55:00
SCHEDULED,100,2021-09-06 01:55:00
SCHEDULED,12,2021-10-21 10:00:00
SCHEDULED,154,2021-09-07 05:00:00
SCHEDULED,133,2021-09-18 13:00:00
SCHEDULED,52,2021-08-02 15:45:00
SCHEDULED,148,2021-10-22 14:05:00
SCHEDULED,115,2021-08-12 11:50:00
SCHEDULED,159,2021-08-10 06:15:00
SCHEDULED,2,2021-09-23 05:15:00
SCHEDULED,167,2021-08-18 01:55:00
SCHEDULED,130,2021-08-23 12:50:00
SCHEDULED,27,2021-08-11 05:45:00
SCHEDULED,4,2021-09-15 09:20:00
SCHEDULED,145,2021-09-04 12:25:00
SCHEDULED,103,2021-08-03 13:55:00
SCHEDULED,23,2021-09-29 07:50:00
SCHEDULED,31,2021-10-12 06:45:00
SCHEDULED,160,2021-09-01 19:50:00
SCHEDULED,71,2021-09-08 08:55:00
SCHEDULED,139,2021-10-17 00:15:00
SCHEDULED,106,2021-10-08 16:35:00
SCHEDULED,161,2021-09-25 13:15:00
SCHEDULED,134,2021-08-23 18:40:00
SCHEDULED,138,2021-10-14 06:05:00
SCHEDULED,12,2021-10-16 10:35:00
SCHEDULED,4,2021-09-06 01:10:00
SCHEDULED,56,2021-10-22 12:05:00
SCHEDULED,86,2021-09-18 17:20:00
SCHEDULED,30,2021-10-19 05:20:00
SCHEDULED,47,2021-09-17 02:55:00
SCHEDULED,100,2021-09-21 12:25:00
SCHEDULED,97,2021-09-22 20:00:00
SCHEDULED,6,2021-09-08 00:05:00
SCHEDULED,172,2021-09-11 19:35:00
SCHEDULED,136,2021-09-04 01:20:00
SCHEDULED,97,2021-08-25 22:40:00
SCHEDULED,124,2021-08-21 19:40:00
SCHEDULED,56,2021-09-09 09:50:00
SCHEDULED,168,2021-08-11 14:35:00
SCHEDULED,98,2021-10-04 20:30:00
